order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,city,country,customer_segment,days_since_last_purchase,customer_tenure_days
1049,C040,2024-03-05,Electronics,Laptop Cooling Pad,1,44.99,44.99,Debit Card,Mumbai,India,VIP,9,530
1050,C041,2024-03-06,Clothing,Woolen Cap,3,14.99,44.97,UPI,Bangalore,India,Regular,31,275
1051,C042,2024-03-07,Books,Naked Statistics,1,29.99,29.99,Credit Card,Hyderabad,India,New,0,2
1052,C043,2024-03-08,Home & Kitchen,Herb Garden Kit,1,34.99,34.99,Net Banking,Pune,India,VIP,6,490
1053,C044,2024-03-09,Electronics,USB-C Hub,1,54.99,54.99,UPI,Delhi,India,Regular,44,155
1054,C045,2024-03-10,Clothing,Formal Trousers,2,59.99,119.98,Debit Card,Chennai,India,Regular,29,300
1055,C046,2024-03-11,Books,Data Visualization Guide,1,39.99,39.99,UPI,Pune,India,VIP,2,750
1056,C002,2024-03-12,Electronics,Smart Plug,2,24.99,49.98,Credit Card,Mumbai,India,VIP,7,546
1057,C047,2024-03-13,Home & Kitchen,Bath Towel Set,1,44.99,44.99,Net Banking,Bangalore,India,Regular,36,190
1058,C005,2024-03-14,Clothing,Cotton Kurta,1,59.99,59.99,UPI,Pune,India,VIP,3,628
1059,C048,2024-03-15,Books,The Data Warehouse Toolkit,1,69.99,69.99,Debit Card,Hyderabad,India,New,0,5
1060,C049,2024-03-16,Electronics,Monitor Light Bar,1,89.99,89.99,UPI,Pune,India,Regular,22,320
1061,C050,2024-03-17,Clothing,Silk Tie,2,29.99,59.98,Credit Card,Delhi,India,VIP,5,600
1062,C001,2024-03-18,Home & Kitchen,Scented Candle Set,2,19.99,39.98,UPI,Pune,India,Regular,37,373
1063,C051,2024-03-19,Electronics,Mechanical Keyboard,1,149.99,149.99,Net Banking,Chennai,India,Regular,48,140
1064,C052,2024-03-20,Clothing,Summer Dress,1,79.99,79.99,Debit Card,Bangalore,India,New,0,3
1065,C053,2024-03-21,Books,The Signal and the Noise,1,34.99,34.99,UPI,Pune,India,VIP,8,510
1066,C054,2024-03-22,Home & Kitchen,Digital Thermometer,1,24.99,24.99,Credit Card,Mumbai,India,Regular,41,160
1067,C055,2024-03-23,Electronics,Webcam Cover Set,3,9.99,29.97,UPI,Delhi,India,VIP,4,670
1068,C056,2024-03-24,Clothing,Hooded Sweatshirt,1,64.99,64.99,Net Banking,Hyderabad,India,Regular,26,250
1069,C057,2024-03-25,Books,The Hundred Page ML Book,1,44.99,44.99,UPI,Pune,India,New,0,4
1070,C058,2024-03-26,Electronics,VR Headset,1,399.99,399.99,Credit Card,Chennai,India,VIP,1,850
1071,C059,2024-03-27,Home & Kitchen,Knife Sharpener,1,19.99,19.99,Debit Card,Bangalore,India,Regular,30,210
1072,C060,2024-03-28,Clothing,Silk Scarf,1,44.99,44.99,UPI,Pune,India,New,0,2
1073,C061,2024-03-29,Books,Designing Data Intensive Applications,1,54.99,54.99,Net Banking,Mumbai,India,VIP,6,580
1074,C005,2024-03-30,Electronics,Docking Station,1,89.99,89.99,UPI,Pune,India,VIP,2,630
1075,C062,2024-03-31,Home & Kitchen,Smart Scale,1,49.99,49.99,Credit Card,Delhi,India,Regular,33,185
